,created_date,complaint_type,incident_zip,status
41,2019-12-11T17:49:00.000,Traffic Signal Condition,11231,Closed
42,2019-12-11T17:48:27.000,Street Condition,11105,Open
43,2019-12-11T17:35:00.000,Traffic Signal Condition,11231,Closed
44,2019-12-11T17:30:00.000,Street Light Condition,10454,Open
45,2019-12-11T17:30:00.000,Traffic Signal Condition,11206,Open
46,2019-12-11T17:26:00.000,Traffic Signal Condition,10475,Closed
47,2019-12-11T17:23:00.000,Traffic Signal Condition,11231,Assigned
48,2019-12-11T17:22:00.000,Street Light Condition,10454,Open
49,2019-12-11T17:08:00.000,Street Light Condition,11214,Open
50,2019-12-11T17:06:00.000,Street Light Condition,10312,Open
51,2019-12-11T17:04:57.000,Street Condition,11420,Open
52,2019-12-11T17:01:00.000,Street Light Condition,11214,Open
53,2019-12-11T16:57:00.000,Traffic Signal Condition,11215,Open
54,2019-12-11T16:42:00.000,Traffic Signal Condition,11101,Closed
55,2019-12-11T16:29:02.000,Street Condition,11230,Open
56,2019-12-11T16:28:46.000,Street Condition,11418,Open
57,2019-12-11T16:28:35.000,Street Condition,11230,Open
58,2019-12-11T16:21:41.000,Street Condition,10463,Open
59,2019-12-11T16:20:00.000,Traffic Signal Condition,11412,Closed
60,2019-12-11T16:14:00.000,Traffic Signal Condition,11219,Assigned
61,2019-12-11T15:58:00.000,Traffic Signal Condition,11210,Assigned
62,2019-12-11T15:53:00.000,Traffic Signal Condition,11368,Closed
63,2019-12-11T15:50:40.000,Street Condition,11374,Pending
64,2019-12-11T15:50:00.000,Traffic Signal Condition,11211,Assigned
65,2019-12-11T15:45:00.000,Street Light Condition,11364,Closed
66,2019-12-11T15:42:00.000,Street Light Condition,11357,Closed
67,2019-12-11T15:42:00.000,Street Light Condition,11358,Closed
68,2019-12-11T15:42:00.000,Street Light Condition,11357,Closed
69,2019-12-11T15:41:00.000,Street Light Condition,11358,Closed
70,2019-12-11T15:40:00.000,Street Light Condition,11366,Closed
71,2019-12-11T15:40:00.000,Street Light Condition,11366,Closed
72,2019-12-11T15:39:00.000,Street Light Condition,11366,Closed
73,2019-12-11T15:38:00.000,Street Light Condition,11385,Closed
74,2019-12-11T15:37:00.000,Street Light Condition,11691,Pending
75,2019-12-11T15:37:00.000,Street Light Condition,11373,Closed
76,2019-12-11T15:35:00.000,Street Light Condition,11691,Pending
77,2019-12-11T15:34:00.000,Street Light Condition,11692,Closed
78,2019-12-11T15:33:00.000,Street Light Condition,11377,Closed
79,2019-12-11T15:33:00.000,Street Light Condition,11692,Closed
80,2019-12-11T15:32:00.000,Street Light Condition,11378,Closed
81,2019-12-11T15:32:00.000,Street Light Condition,11377,Closed
82,2019-12-11T15:29:00.000,Street Light Condition,11420,Closed
83,2019-12-11T15:29:00.000,Street Light Condition,11420,Closed
84,2019-12-11T15:28:00.000,Street Light Condition,11369,Closed
85,2019-12-11T15:27:00.000,Street Light Condition,11105,Closed
86,2019-12-11T15:26:00.000,Street Light Condition,11216,Closed
87,2019-12-11T15:26:00.000,Street Light Condition,11230,Pending
88,2019-12-11T15:25:00.000,Traffic Signal Condition,11207,Open
89,2019-12-11T15:25:00.000,Street Light Condition,11203,Closed
90,2019-12-11T15:24:00.000,Traffic Signal Condition,11208,Open
91,2019-12-11T15:24:00.000,Street Light Condition,11203,Closed
92,2019-12-11T15:23:00.000,Street Light Condition,11228,Closed
93,2019-12-11T15:23:00.000,Street Light Condition,11228,Closed
94,2019-12-11T15:22:00.000,Traffic Signal Condition,11208,Open
95,2019-12-11T15:22:00.000,Street Light Condition,11220,Closed
96,2019-12-11T15:21:00.000,Street Light Condition,11232,Closed
97,2019-12-11T15:21:00.000,Street Light Condition,11232,Closed
98,2019-12-11T15:21:00.000,Traffic Signal Condition,11208,Open
99,2019-12-11T15:20:28.000,Street Condition,11208,Open
100,2019-12-11T15:18:44.000,Street Condition,11220,Open
101,2019-12-11T15:18:33.000,Street Condition,11220,Open
102,2019-12-11T15:16:43.000,Street Condition,11207,Open
103,2019-12-11T15:16:20.000,Street Condition,11207,Open
104,2019-12-11T15:15:20.000,General Construction/Plumbing,10466,Open
105,2019-12-11T15:15:20.000,Building/Use,11355,Open
106,2019-12-11T15:15:00.000,Street Light Condition,11204,Closed
107,2019-12-11T15:13:00.000,Street Light Condition,11234,Closed
108,2019-12-11T15:11:29.000,Street Condition,11105,Open
109,2019-12-11T15:11:00.000,Street Light Condition,11207,Assigned
110,2019-12-11T15:10:00.000,Street Light Condition,11223,Closed
111,2019-12-11T15:09:57.000,HEAT/HOT WATER,11212,Open
112,2019-12-11T15:09:00.000,Street Light Condition,11221,Closed
113,2019-12-11T15:08:17.000,Overgrown Tree/Branches,10465,In Progress
114,2019-12-11T15:08:09.000,Blocked Driveway,11236,In Progress
115,2019-12-11T15:08:02.000,PLUMBING,10456,Open
116,2019-12-11T15:08:00.000,Street Light Condition,11236,Assigned
117,2019-12-11T15:07:14.000,HEAT/HOT WATER,10459,Open
118,2019-12-11T15:07:00.000,Traffic Signal Condition,11222,Open
119,2019-12-11T15:06:46.000,UNSANITARY CONDITION,10467,Open
120,2019-12-11T15:06:29.000,Illegal Parking,10458,In Progress
121,2019-12-11T15:06:24.000,Damaged Tree,10312,In Progress
122,2019-12-11T15:06:13.000,Illegal Parking,11224,In Progress
123,2019-12-11T15:05:51.000,General Construction/Plumbing,10312,Open
124,2019-12-11T15:05:44.000,Blocked Driveway,10465,In Progress
125,2019-12-11T15:05:43.000,Consumer Complaint,11222,In Progress
126,2019-12-11T15:05:36.000,Street Condition,11001,Open
127,2019-12-11T15:05:35.000,Noise - Helicopter,11217,Closed
128,2019-12-11T15:05:24.000,General Construction/Plumbing,11217,Open
129,2019-12-11T15:05:18.000,Noise - Residential,10030,In Progress
130,2019-12-11T15:05:15.000,Rodent,10453,In Progress
131,2019-12-11T15:05:11.000,Illegal Parking,11230,In Progress
132,2019-12-11T15:04:46.000,Sidewalk Condition,11368,In Progress
133,2019-12-11T15:04:36.000,Blocked Driveway,11416,In Progress
134,2019-12-11T15:04:31.000,Street Condition,10018,In Progress
135,2019-12-11T15:04:27.000,Noise - Helicopter,11217,Closed
136,2019-12-11T15:04:00.000,Traffic Signal Condition,11212,Open
137,2019-12-11T15:03:57.000,PLUMBING,10031,Open
